Date,Currency,FX_to_Report_Ccy
2023-11-30,EUR,1.0
2023-11-30,JPY,0.006197975652025885
2023-11-30,USD,0.9112700443424367
2023-12-01,EUR,1.0
2023-12-01,JPY,0.006203743601821441
2023-12-01,USD,0.9180999903468586
2023-12-04,EUR,1.0
2023-12-04,JPY,0.006274037665287519
2023-12-04,USD,0.9184299926896607
2023-12-05,EUR,1.0
2023-12-05,JPY,0.00626319206810151
2023-12-05,USD,0.9226999976131213
2023-12-06,EUR,1.0
2023-12-06,JPY,0.006295049113313093
2023-12-06,USD,0.9264700295194279
2023-12-07,EUR,1.0
2023-12-07,JPY,0.006311099169944469
2023-12-07,USD,0.9287899589891672
2023-12-08,EUR,1.0
2023-12-08,JPY,0.00642388631791415
2023-12-08,USD,0.9265999978349971
2023-12-11,EUR,1.0
2023-12-11,JPY,0.0064071348201517764
2023-12-11,USD,0.9288699722798694
2023-12-12,EUR,1.0
2023-12-12,JPY,0.006359017251609379
2023-12-12,USD,0.9288000370253006
2023-12-13,EUR,1.0
2023-12-13,JPY,0.006374786598435232
2023-12-13,USD,0.9260399614465002
2023-12-14,EUR,1.0
2023-12-14,JPY,0.006435834525518257
2023-12-14,USD,0.9186000621116108
2023-12-15,EUR,1.0
2023-12-15,JPY,0.00639353466294582
2023-12-15,USD,0.9096199543227781
2023-12-18,EUR,1.0
2023-12-18,JPY,0.006449491025960737
2023-12-18,USD,0.9178299730513665
2023-12-19,EUR,1.0
2023-12-19,JPY,0.006414655985491852
2023-12-19,USD,0.9154300217677148
2023-12-20,EUR,1.0
2023-12-20,JPY,0.006329234338993583
2023-12-20,USD,0.910660062362883
2023-12-21,EUR,1.0
2023-12-21,JPY,0.006368737212429689
2023-12-21,USD,0.9136000442608664
2023-12-22,EUR,1.0
2023-12-22,JPY,0.006397665851599455
2023-12-22,USD,0.9085799560646566
2023-12-25,EUR,1.0
2023-12-25,JPY,0.006377958051028531
2023-12-25,USD,0.9068999728749748
2023-12-26,EUR,1.0
2023-12-26,JPY,0.006381132039463781
2023-12-26,USD,0.9074200115528652
2023-12-27,EUR,1.0
2023-12-27,JPY,0.006357481239968822
2023-12-27,USD,0.9055500321151179
2023-12-28,EUR,1.0
2023-12-28,JPY,0.006366871748667893
2023-12-28,USD,0.9001999762840038
2023-12-29,EUR,1.0
2023-12-29,JPY,0.0063886744524087324
2023-12-29,USD,0.9034899671200016
2024-01-01,EUR,1.0
2024-01-01,JPY,0.006414395431779074
2024-01-01,USD,0.9045000034503937
2024-01-02,EUR,1.0
2024-01-02,JPY,0.0064199274799756866
2024-01-02,USD,0.9059000292765496
2024-01-03,EUR,1.0
2024-01-03,JPY,0.006429379880149594
2024-01-03,USD,0.9139300053134402
2024-01-04,EUR,1.0
2024-01-04,JPY,0.006400901376932181
2024-01-04,USD,0.9150999751714761
2024-01-05,EUR,1.0
2024-01-05,JPY,0.006310422201100607
2024-01-05,USD,0.9134599699847572
2024-01-08,EUR,1.0
2024-01-08,JPY,0.0063155237029691716
2024-01-08,USD,0.9138899792385086
2024-01-09,EUR,1.0
2024-01-09,JPY,0.006331758605954207
2024-01-09,USD,0.9131000329380119
2024-01-10,EUR,1.0
2024-01-10,JPY,0.006333683733510179
2024-01-10,USD,0.9147100182492577
2024-01-11,EUR,1.0
2024-01-11,JPY,0.0062523839026301115
2024-01-11,USD,0.9111499817088059
2024-01-12,EUR,1.0
2024-01-12,JPY,0.006278724955900618
2024-01-12,USD,0.9106100417115579
2024-01-15,EUR,1.0
2024-01-15,JPY,0.006294692378318158
2024-01-15,USD,0.9136000442608664
2024-01-16,EUR,1.0
2024-01-16,JPY,0.0062671169244383805
