Date,Security,Price,Price_Currency
2022-07-05,AAPL,138.902099609375,USD
2022-07-05,ASML.AS,395.1979064941406,EUR
2022-07-05,BNP.PA,34.94074630737305,EUR
2022-07-05,MSFT,254.86691284179688,USD
2022-07-05,SHELL.AS,19.915782928466797,EUR
2022-07-06,7203.T,1830.126953125,JPY
2022-07-06,AAPL,140.23654174804688,USD
2022-07-06,ASML.AS,407.2760925292969,EUR
2022-07-06,BNP.PA,34.566715240478516,EUR
2022-07-06,MSFT,258.1248474121094,USD
2022-07-06,SHELL.AS,19.596960067749023,EUR
2022-07-07,7203.T,1871.922607421875,JPY
2022-07-07,AAPL,143.60214233398438,USD
2022-07-07,ASML.AS,425.9247741699219,EUR
2022-07-07,BNP.PA,35.45405578613281,EUR
2022-07-07,MSFT,260.24835205078125,USD
2022-07-07,SHELL.AS,20.417396545410156,EUR
2022-07-08,7203.T,1877.2581787109375,JPY
2022-07-08,AAPL,144.2791748046875,USD
2022-07-08,ASML.AS,431.09429931640625,EUR
2022-07-08,BNP.PA,36.178260803222656,EUR
2022-07-08,MSFT,259.5308532714844,USD
2022-07-08,SHELL.AS,20.532175064086914,EUR
2022-07-11,7203.T,1913.71875,JPY
2022-07-11,AAPL,142.14993286132812,USD
2022-07-11,ASML.AS,423.21929931640625,EUR
2022-07-11,BNP.PA,34.9964599609375,EUR
2022-07-11,MSFT,256.4764709472656,USD
2022-07-11,SHELL.AS,20.362133026123047,EUR
2022-07-12,7203.T,1882.1492919921875,JPY
2022-07-12,AAPL,143.121337890625,USD
2022-07-12,ASML.AS,420.0306396484375,EUR
2022-07-12,BNP.PA,34.86912155151367,EUR
2022-07-12,MSFT,245.9657440185547,USD
2022-07-12,SHELL.AS,20.102827072143555,EUR
2022-07-13,7203.T,1898.15625,JPY
2022-07-13,AAPL,142.75831604003906,USD
2022-07-13,ASML.AS,426.84271240234375,EUR
2022-07-13,BNP.PA,34.005653381347656,EUR
2022-07-13,MSFT,245.04457092285156,USD
2022-07-13,SHELL.AS,20.141090393066406,EUR
2022-07-14,7203.T,1898.6009521484375,JPY
2022-07-14,AAPL,145.68234252929688,USD
2022-07-14,ASML.AS,428.0505065917969,EUR
2022-07-14,BNP.PA,32.71243667602539,EUR
2022-07-14,MSFT,246.36326599121094,USD
2022-07-14,SHELL.AS,19.41841697692871,EUR
2022-07-15,7203.T,1923.5003662109375,JPY
2022-07-15,AAPL,147.35040283203125,USD
2022-07-15,ASML.AS,449.6946105957031,EUR
2022-07-15,BNP.PA,33.08647537231445,EUR
2022-07-15,MSFT,248.92311096191406,USD
2022-07-15,SHELL.AS,19.869020462036133,EUR
2022-07-18,7203.T,1923.5003662109375,JPY
2022-07-18,AAPL,144.3086700439453,USD
2022-07-18,ASML.AS,460.1302185058594,EUR
2022-07-18,BNP.PA,33.7828254699707,EUR
2022-07-18,MSFT,246.52809143066406,USD
2022-07-18,SHELL.AS,20.413148880004883,EUR
2022-07-19,7203.T,1935.9501953125,JPY
2022-07-19,AAPL,148.1648406982422,USD
2022-07-19,ASML.AS,468.4399108886719,EUR
2022-07-19,BNP.PA,34.93677520751953,EUR
2022-07-19,MSFT,251.64779663085938,USD
2022-07-19,SHELL.AS,20.31537628173828,EUR
2022-07-20,7203.T,1951.0677490234375,JPY
2022-07-20,AAPL,150.16650390625,USD
2022-07-20,ASML.AS,484.2864990234375,EUR
2022-07-20,BNP.PA,35.434165954589844,EUR
2022-07-20,MSFT,254.3045196533203,USD
2022-07-20,SHELL.AS,20.485410690307617,EUR
2022-07-21,7203.T,1950.6234130859375,JPY
2022-07-21,AAPL,152.43316650390625,USD
2022-07-21,ASML.AS,509.2159729003906,EUR
2022-07-21,BNP.PA,35.438140869140625,EUR
2022-07-21,MSFT,256.79644775390625,USD
2022-07-21,SHELL.AS,20.221853256225586,EUR
2022-07-22,7203.T,1958.6268310546875,JPY
2022-07-22,AAPL,151.1968231201172,USD
2022-07-22,ASML.AS,504.8677673339844,EUR
2022-07-22,BNP.PA,34.86912155151367,EUR
2022-07-22,MSFT,252.4525146484375,USD
2022-07-22,SHELL.AS,20.404644012451172,EUR
2022-07-25,7203.T,1926.1683349609375,JPY
2022-07-25,AAPL,150.0782470703125,USD
2022-07-25,ASML.AS,510.4719543457031,EUR
2022-07-25,BNP.PA,35.593326568603516,EUR
2022-07-25,MSFT,250.9690399169922,USD
2022-07-25,SHELL.AS,20.727712631225586,EUR
2022-07-26,7203.T,1926.1683349609375,JPY
2022-07-26,AAPL,148.7535858154297,USD
2022-07-26,ASML.AS,497.5243225097656,EUR
2022-07-26,BNP.PA,35.26703643798828,EUR
2022-07-26,MSFT,244.24948120117188,USD
2022-07-26,SHELL.AS,21.08054542541504,EUR
2022-07-27,7203.T,1928.8360595703125,JPY
2022-07-27,AAPL,153.8461151123047,USD
2022-07-27,ASML.AS,511.05181884765625,EUR
2022-07-27,BNP.PA,35.30683135986328,EUR
2022-07-27,MSFT,260.57806396484375,USD
2022-07-27,SHELL.AS,21.399372100830078,EUR
